timestamp,datetime,firmware_version,humidity,temperature,pressure,voc,pm2.5_cf_1
1751883912,2025-07-07T04:25:12-06:00,7.04,26,82,906.91,80,0.0
1751884032,2025-07-07T04:27:12-06:00,7.04,26,82,906.92,80,0.0
1751884152,2025-07-07T04:29:12-06:00,7.04,26,82,906.95,80,0.0
1751884272,2025-07-07T04:31:12-06:00,7.04,26,82,906.97,80,0.0
1751884392,2025-07-07T04:33:12-06:00,7.04,26,82,906.99,80,0.0
1751884512,2025-07-07T04:35:12-06:00,7.04,26,82,907.03,79,0.0
1751884632,2025-07-07T04:37:12-06:00,7.04,26,82,907.07,80,0.0
1751884752,2025-07-07T04:39:12-06:00,7.04,26,82,907.04,80,0.0
1751884872,2025-07-07T04:41:12-06:00,7.04,26,82,907.08,80,0.0
1751884992,2025-07-07T04:43:12-06:00,7.04,26,82,907.09,80,0.0
1751885112,2025-07-07T04:45:12-06:00,7.04,26,82,907.1,80,0.0
1751885232,2025-07-07T04:47:12-06:00,7.04,26,82,907.1,80,0.0
1751885352,2025-07-07T04:49:12-06:00,7.04,26,82,907.12,79,0.0
1751885472,2025-07-07T04:51:12-06:00,7.04,26,82,907.09,79,0.0
1751885592,2025-07-07T04:53:12-06:00,7.04,26,82,907.11,79,0.0
1751885712,2025-07-07T04:55:12-06:00,7.04,26,82,907.12,79,0.0
1751885832,2025-07-07T04:57:12-06:00,7.04,26,82,907.11,79,0.0
1751885952,2025-07-07T04:59:12-06:00,7.04,26,82,907.12,79,0.0
1751886072,2025-07-07T05:01:12-06:00,7.04,26,82,907.13,79,0.0
1751886192,2025-07-07T05:03:12-06:00,7.04,26,82,907.12,78,0.0
1751886312,2025-07-07T05:05:12-06:00,7.04,26,82,907.14,78,0.0
1751886432,2025-07-07T05:07:12-06:00,7.04,26,82,907.15,79,0.0
1751886552,2025-07-07T05:09:12-06:00,7.04,26,82,907.14,78,0.0
1751886672,2025-07-07T05:11:12-06:00,7.04,26,82,907.16,78,0.0
1751886792,2025-07-07T05:13:12-06:00,7.04,26,82,907.19,78,0.0
1751886912,2025-07-07T05:15:12-06:00,7.04,26,82,907.18,78,0.0
1751887032,2025-07-07T05:17:12-06:00,7.04,26,82,907.2,78,0.0
1751887152,2025-07-07T05:19:12-06:00,7.04,26,82,907.2,78,0.0
1751887272,2025-07-07T05:21:12-06:00,7.04,26,82,907.23,78,0.0
1751887392,2025-07-07T05:23:12-06:00,7.04,26,82,907.23,78,0.0
1751887512,2025-07-07T05:25:12-06:00,7.04,26,82,907.25,78,0.0
1751887632,2025-07-07T05:27:12-06:00,7.04,26,82,907.26,77,0.0
1751887752,2025-07-07T05:29:12-06:00,7.04,26,82,907.23,77,0.0
1751887872,2025-07-07T05:31:12-06:00,7.04,26,82,907.25,77,0.0
1751887992,2025-07-07T05:33:12-06:00,7.04,26,82,907.24,77,0.0
1751888112,2025-07-07T05:35:12-06:00,7.04,26,82,907.24,77,0.0
1751888232,2025-07-07T05:37:12-06:00,7.04,26,82,907.26,77,0.0
1751888352,2025-07-07T05:39:12-06:00,7.04,26,82,907.29,77,0.0
1751888472,2025-07-07T05:41:12-06:00,7.04,26,82,907.28,77,0.0
1751888592,2025-07-07T05:43:12-06:00,7.04,26,82,907.29,77,0.0
1751888712,2025-07-07T05:45:12-06:00,7.04,26,82,907.32,76,0.0
1751888832,2025-07-07T05:47:12-06:00,7.04,26,82,907.33,76,0.0
1751888952,2025-07-07T05:49:12-06:00,7.04,26,82,907.35,76,0.0
1751889072,2025-07-07T05:51:12-06:00,7.04,26,82,907.35,76,0.0
1751889192,2025-07-07T05:53:12-06:00,7.04,26,82,907.36,76,0.0
1751889312,2025-07-07T05:55:12-06:00,7.04,26,82,907.4,76,0.0
1751889432,2025-07-07T05:57:12-06:00,7.04,26,82,907.4,76,0.0
1751889552,2025-07-07T05:59:12-06:00,7.04,26,82,907.43,76,0.0
1751889672,2025-07-07T06:01:12-06:00,7.04,26,82,907.46,76,0.0
1751889792,2025-07-07T06:03:12-06:00,7.04,26,83,907.5,76,0.0
1751889912,2025-07-07T06:05:12-06:00,7.04,26,82,907.49,76,0.0
